tree0_0,0,0,512,512
tree0_1,512,0,512,512
tree0_2,1024,0,512,512
tree0_3,1536,0,512,512
slope0_l,2048,0,512,512
slope0_r,2560,0,512,512
wall0,3072,0,1024,256
grass0,3072,256,512,128
tree1_0,0,512,512,512
tree1_1,512,512,512,512
tree1_2,1024,512,512,512
tree1_3,1536,512,512,512
slope1_l,2048,512,512,512
slope1_r,2560,512,512,512
wall1,3072,512,1024,256
grass1,3072,768,512,128
tree2_0,0,1024,512,512
tree2_1,512,1024,512,512
tree2_2,1024,1024,512,512
tree2_3,1536,1024,512,512
slope2_l,2048,1024,512,512
slope2_r,2560,1024,512,512
wall2,3072,1024,1024,256
grass2,3072,1280,512,128
tree3_0,0,1536,512,512
tree3_1,512,1536,512,512
tree3_2,1024,1536,512,512
tree3_3,1536,1536,512,512
slope3_l,2048,1536,512,512
slope3_r,2560,1536,512,512
wall3,3072,1536,1024,256
grass3,3072,1792,512,128
scooter0,0,2048,256,512
scooter1,256,2048,256,512
scooter3,512,2048,256,512
car0_0,1024,2048,512,512
car0_1,1536,2048,512,512
car0_2,2048,2048,512,512
car3_0,2560,2048,512,512
car3_1,3072,2048,512,512
car3_2,3584,2048,512,512
house0_0l,0,2560,512,384
house0_0r,512,2560,512,384
house0_1l,1024,2560,512,384
house0_1r,1536,2560,512,384
house0_2l,2048,2560,512,256
house0_2r,2048,2816,512,256
house2_0l,0,2944,512,384
house2_0r,512,2944,512,384
house2_1l,1024,2944,512,384
house2_1r,1536,2944,512,384
house2_2l,2048,3072,512,256
house2_2r,2048,3328,512,256
house3_0l,0,3328,512,384
house3_0r,512,3328,512,384
house3_1l,1024,3328,512,384
house3_1r,1536,3328,512,384
house3_2l,2560,2560,512,256
house3_2r,2560,2816,512,256
beam,3072,2560,1024,512
arrowr2l,3584,3712,256,384
arrowl2r,3840,3712,256,384
deli0,3328,3840,128,256
deli1,3456,3840,128,256
road0,2048,3584,512,512
road1,2560,3584,512,512
road2,1792,3840,256,256
